Operon,IdGene,Type,COGgene,start,end,end.gff,Strand,Function,chr,acc,locus_tag,old_locus_tag,length_nt,type,annotation
1140,cds1640,CDS,COG0633,1589725,1590096,1590096,+,[C] Ferredoxin     ,NC_013967.1,WP_004041611.1,HVO_RS12980,HVO_1721,372,protein_coding,(2Fe-2S)-binding protein
1142,cds1641,CDS,COG1061,1590526,1592613,1592613,-,[KL] DNA or RNA helicases of superfamily,NC_013967.1,WP_004041612.1,HVO_RS12990,HVO_1723,2088,protein_coding,ATP-dependent helicase
1144,cds1643,CDS,COG1474,1594707,1595912,1595912,+,"[LO] Cdc6-related protein, AAA superfamily ATPase ",NC_013967.1,WP_004063115.1,HVO_RS13000,HVO_1725,1206,protein_coding,cell division control protein Cdc6
1145,cds1644,CDS,COG4742,1596084,1596653,1596653,-,[K] Predicted transcriptional regulator   ,NC_013967.1,WP_004041615.1,HVO_RS13005,HVO_1726,570,protein_coding,hypothetical protein
1146,cds1645,CDS,COG2101,1596955,1597515,1597515,-,"[K] TATA-box binding protein (TBP), component of",NC_013967.1,WP_004041616.1,HVO_RS13010,HVO_1727,561,protein_coding,transcription factor
1150,cds1649,CDS,COG4715,1605225,1607207,1607207,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004041619.1,HVO_RS13050,HVO_1735,1983,protein_coding,hypothetical protein
1151,cds1650,CDS,COG1061,1607341,1608753,1608753,+,[KL] DNA or RNA helicases of superfamily,NC_013967.1,WP_013035313.1,HVO_RS13055,HVO_1736,1413,protein_coding,ATP-dependent helicase
1151,cds1651,CDS,COG3372,1608740,1610092,1610092,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004041621.1,HVO_RS13060,HVO_1737,1353,protein_coding,DUF790 domain-containing protein
1152,cds1655,CDS,COG5048,1611934,1612920,1612920,-,[R] FOG: Zn-finger    ,NC_013967.1,WP_004041625.1,HVO_RS13080,HVO_1741,987,protein_coding,hypothetical protein
1154,cds1657,CDS,COG4715,1613635,1614432,1614432,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_013035436.1,HVO_RS13090,HVO_1743,798,protein_coding,hypothetical protein
1154,cds1658,CDS,COG1205,1614465,1616816,1616816,-,[R] Distinct helicase family with a unique,NC_013967.1,WP_013035512.1,HVO_RS13095,HVO_1744,2352,protein_coding,DUF1998 domain-containing protein
1158,cds1663,CDS,COG2149,1620463,1620693,1620693,-,[S] Predicted membrane protein   ,NC_013967.1,WP_004041633.1,HVO_RS13120,HVO_1750,231,protein_coding,hypothetical protein
1159,cds1664,CDS,COG2217,1620826,1623411,1623411,-,[P] Cation transport ATPase   ,NC_013967.1,WP_004041634.1,HVO_RS13125,HVO_1751,2586,protein_coding,Cu(2+)-exporting ATPase
1160,cds1665,CDS,COG1522,1623553,1624152,1624152,-,[K] Transcriptional regulators    ,NC_013967.1,WP_004041635.1,HVO_RS13130,HVO_1752,600,protein_coding,transcriptional regulator
1161,cds1666,CDS,COG2608,1624284,1624481,1624481,+,[P] Copper chaperone    ,NC_013967.1,WP_004041636.1,HVO_RS13135,HVO_1753,198,protein_coding,heavy metal transporter
1164,cds1669,CDS,COG0454,1625273,1625896,1625896,-,[KR] Histone acetyltransferase HPA2 and related acetyltransferases,NC_013967.1,WP_004041639.1,HVO_RS13150,HVO_1756,624,protein_coding,N-acetyltransferase
1166,cds1671,CDS,COG0492,1626783,1627772,1627772,+,[O] Thioredoxin reductase    ,NC_013967.1,WP_004041641.1,HVO_RS13160,HVO_1758,990,protein_coding,NAD(P)/FAD-dependent oxidoreductase
1166,cds1672,CDS,COG0609,1627769,1628884,1628884,+,"[P] ABC-type Fe3+-siderophore transport system, permease component",NC_013967.1,WP_004041642.1,HVO_RS13165,HVO_1759,1116,protein_coding,iron ABC transporter permease
1166,cds1673,CDS,COG1120,1628917,1629765,1629765,+,"[PH] ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components",NC_013967.1,WP_049914765.1,HVO_RS13170,HVO_1760,849,protein_coding,ABC transporter ATP-binding protein
1167,cds1674,CDS,COG1047,1629850,1630323,1630323,-,[O] FKBP-type peptidyl-prolyl cis-trans isomerases 2 ,NC_013967.1,WP_004041644.1,HVO_RS13175,HVO_1761,474,protein_coding,peptidylprolyl isomerase
1168,cds1675,CDS,COG1018,1630387,1631157,1631157,-,[C] Flavodoxin reductases (ferredoxin-NADPH reductases) family 1,NC_013967.1,WP_004041645.1,HVO_RS13180,HVO_1762,771,protein_coding,ferredoxin
1169,cds1676,CDS,COG0392,1631305,1632306,1632306,+,[S] Predicted integral membrane protein  ,NC_013967.1,WP_004041646.1,HVO_RS13185,HVO_1763,1002,protein_coding,hypothetical protein
1171,cds1678,CDS,COG4189,1633761,1634144,1634144,+,[K] Predicted transcriptional regulator   ,NC_013967.1,WP_004041648.1,HVO_RS13195,HVO_1766,384,protein_coding,ArsR family transcriptional regulator
1171,cds1679,CDS,COG0601,1634178,1635029,1635029,+,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",NC_013967.1,WP_013035618.1,HVO_RS13200,HVO_1767,852,protein_coding,ABC transporter permease
1171,cds1680,CDS,COG0444,1635032,1636105,1636105,+,"[EP] ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",NC_013967.1,WP_004041650.1,HVO_RS13205,HVO_1768,1074,protein_coding,dipeptides/oligopeptides ABC transporter ATP-binding protein
1171,cds1681,CDS,COG4608,1636102,1637166,1637166,+,"[E] ABC-type oligopeptide transport system, ATPase component",NC_013967.1,WP_004041651.1,HVO_RS13210,HVO_1769,1065,protein_coding,ABC transporter ATP-binding protein
1171,cds1683,CDS,COG3535,1637522,1638643,1638643,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004041653.1,HVO_RS13220,HVO_1771,1122,protein_coding,DUF917 domain-containing protein
1171,cds1686,CDS,COG2309,1639898,1640845,1640845,+,[E] Leucyl aminopeptidase (aminopeptidase T)  ,NC_013967.1,WP_004041656.1,HVO_RS13235,HVO_1774,948,protein_coding,leucyl aminopeptidase
1171,cds1687,CDS,COG0778,1640842,1641810,1641810,+,[C] Nitroreductase     ,NC_013967.1,WP_004041657.1,HVO_RS13240,HVO_1775,969,protein_coding,oxygen-insensitive NAD(P)H nitroreductase/dihydropteridine reductase
1171,cds1688,CDS,COG4126,1641810,1642469,1642469,+,[E] Hydantoin racemase    ,NC_013967.1,WP_004041658.1,HVO_RS13245,HVO_1776,660,protein_coding,hypothetical protein
1172,cds1689,CDS,COG0376,1642780,1644936,1644936,+,[P] Catalase (peroxidase I)   ,NC_013967.1,WP_004041659.1,HVO_RS13250,HVO_1778,2157,protein_coding,catalase/peroxidase HPI
1173,cds1690,CDS,COG0840,1645089,1646825,1646825,-,[NT] Methyl-accepting chemotaxis protein   ,NC_013967.1,WP_004041660.1,HVO_RS13255,HVO_1779,1737,protein_coding,methyl-accepting chemotaxis protein
1174,cds1691,CDS,COG3177,1647441,1647956,1647956,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_013035538.1,HVO_RS13260,HVO_1780,516,protein_coding,hypothetical protein
1175,cds1693,CDS,COG3385,1648457,1649626,1649626,-,[L] FOG: Transposase and inactivated derivatives ,NC_013967.1,WP_013035466.1,HVO_RS13270,HVO_1782,1170,protein_coding,IS4 family transposase
1176,cds1694,CDS,COG0624,1649677,1650921,1650921,+,[E] Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases,NC_013967.1,WP_004041663.1,HVO_RS13275,HVO_1784,1245,protein_coding,peptidase M20
1179,cds1697,CDS,COG0155,1652567,1654345,1654345,+,"[P] Sulfite reductase, beta subunit (hemoprotein) ",NC_013967.1,WP_004041668.1,HVO_RS13290,HVO_1788,1779,protein_coding,ferredoxin--nitrite reductase
1181,cds1699,CDS,COG0697,1655015,1655935,1655935,+,[GER] Permeases of the drug/metabolite transporter (DMT),NC_013967.1,WP_013035554.1,HVO_RS13300,HVO_1790,921,protein_coding,EamA/RhaT family transporter
1182,cds1700,CDS,COG0697,1655978,1656925,1656925,-,[GER] Permeases of the drug/metabolite transporter (DMT),NC_013967.1,WP_004041676.1,HVO_RS13305,HVO_1791,948,protein_coding,EamA/RhaT family transporter
1183,cds1701,CDS,COG1522,1657128,1657616,1657616,+,[K] Transcriptional regulators    ,NC_013967.1,WP_004041677.1,HVO_RS13310,HVO_1792,489,protein_coding,Lrp/AsnC family transcriptional regulator
1186,cds1705,CDS,COG1236,1660545,1661777,1661777,-,[J] Predicted exonuclease of the beta-lactamase fold,NC_013967.1,WP_004041681.1,HVO_RS13330,HVO_1797,1233,protein_coding,MBL fold metallo-hydrolase
1188,cds1707,CDS,COG0644,1662369,1663601,1663601,-,[C] Dehydrogenases (flavoproteins)    ,NC_013967.1,WP_004041683.1,HVO_RS13340,HVO_1799,1233,protein_coding,FAD-dependent oxidoreductase
1190,cds1709,CDS,COG5549,1664260,1665405,1665405,-,[O] Predicted Zn-dependent protease   ,NC_013967.1,WP_004041685.1,HVO_RS13350,HVO_1802,1146,protein_coding,hypothetical protein
1191,cds1710,CDS,COG2078,1666075,1666677,1666677,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004041686.1,HVO_RS13355,HVO_1803,603,protein_coding,TIGR00296 family protein
1192,cds1711,CDS,COG1488,1666767,1667933,1667933,-,[H] Nicotinic acid phosphoribosyltransferase   ,NC_013967.1,WP_004041687.1,HVO_RS13360,HVO_1804,1167,protein_coding,nicotinate phosphoribosyltransferase
1193,cds1712,CDS,COG1434,1668011,1668331,1668331,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004041688.1,HVO_RS13365,HVO_1805,321,protein_coding,hypothetical protein
1195,cds1716,CDS,COG1335,1671908,1672480,1672480,+,[Q] Amidases related to nicotinamidase  ,NC_013967.1,WP_004041692.1,HVO_RS13385,HVO_1809,573,protein_coding,cysteine hydrolase
1196,cds1717,CDS,COG2050,1672559,1673044,1673044,-,"[Q] Uncharacterized protein, possibly involved in aromatic",NC_013967.1,WP_004041693.1,HVO_RS13390,HVO_1810,486,protein_coding,PaaI family thioesterase
1197,cds1718,CDS,COG2202,1673282,1675861,1675861,+,[T] FOG: PAS/PAC domain   ,NC_013967.1,WP_004041694.1,HVO_RS13395,HVO_1811,2580,protein_coding,PAS domain S-box protein
1198,cds1720,CDS,COG3413,1677249,1677677,1677677,-,[R] Predicted DNA binding protein  ,NC_013967.1,WP_013035651.1,HVO_RS13405,HVO_1813,429,protein_coding,hypothetical protein
1201,cds1723,CDS,COG0044,1679617,1680906,1680906,+,[F] Dihydroorotase and related cyclic amidohydrolases ,NC_013967.1,WP_004041699.1,HVO_RS13420,HVO_1816,1290,protein_coding,dihydroorotase
1205,cds1727,CDS,COG0589,1682896,1683264,1683264,+,[T] Universal stress protein UspA and related,NC_013967.1,WP_004041703.1,HVO_RS13440,HVO_1820,369,protein_coding,universal stress protein
1205,cds1728,CDS,COG0454,1683261,1683815,1683815,+,[KR] Histone acetyltransferase HPA2 and related acetyltransferases,NC_013967.1,WP_004041704.1,HVO_RS13445,HVO_1821,555,protein_coding,N-acetyltransferase
1206,cds1729,CDS,COG0589,1683867,1684322,1684322,-,[T] Universal stress protein UspA and related,NC_013967.1,WP_004041708.1,HVO_RS13450,HVO_1822,456,protein_coding,universal stress protein
1207,cds1730,CDS,COG0589,1684397,1684885,1684885,+,[T] Universal stress protein UspA and related,NC_013967.1,WP_049896225.1,HVO_RS13455,HVO_1823,489,protein_coding,universal stress protein
1208,cds1731,CDS,COG2404,1684989,1686278,1686278,+,[R] Predicted phosphohydrolase (DHH superfamily)  ,NC_013967.1,WP_004041712.1,HVO_RS13460,HVO_1824,1290,protein_coding,hypothetical protein
1209,cds1734,CDS,COG2125,1687269,1687670,1687670,-,[J] Ribosomal protein S6E (S10)  ,NC_013967.1,WP_004041717.1,HVO_RS13475,HVO_1827,402,protein_coding,30S ribosomal protein S6e
1211,cds1736,CDS,COG2309,1688224,1689318,1689318,-,[E] Leucyl aminopeptidase (aminopeptidase T)  ,NC_013967.1,WP_004041719.1,HVO_RS13485,HVO_1829,1095,protein_coding,aminopeptidase
1212,cds1737,CDS,COG1023,1689487,1690386,1690386,+,[G] Predicted 6-phosphogluconate dehydrogenase   ,NC_013967.1,WP_004041720.1,HVO_RS13490,HVO_1830,900,protein_coding,6-phosphogluconate dehydrogenase
1213,cds1738,CDS,COG1018,1690567,1691148,1691148,+,[C] Flavodoxin reductases (ferredoxin-NADPH reductases) family 1,NC_013967.1,WP_013035390.1,HVO_RS13495,HVO_1831,582,protein_coding,(2Fe-2S)-binding protein
1214,cds1739,CDS,COG0534,1691389,1692804,1692804,+,[V] Na+-driven multidrug efflux pump  ,NC_013967.1,WP_004041722.1,HVO_RS13500,HVO_1832,1416,protein_coding,MATE family efflux transporter
1216,cds1740,CDS,COG3385,1694560,1695912,1695912,+,[L] FOG: Transposase and inactivated derivatives ,NC_013967.1,WP_013035249.1,HVO_RS13510,HVO_1835,1353,protein_coding,IS4 family transposase
1217,cds1741,CDS,COG1961,1695909,1696397,1696397,-,"[L] Site-specific recombinases, DNA invertase Pin homologs",NC_013967.1,WP_049914834.1,HVO_RS13515,HVO_1834,489,protein_coding,hypothetical protein
1218,cds1742,CDS,COG1479,1696544,1696873,1696873,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_081442889.1,HVO_RS20190,NA,330,protein_coding,DUF262 domain-containing protein
1219,cds1743,CDS,COG3385,1697021,1698178,1698178,-,[L] FOG: Transposase and inactivated derivatives ,NC_013967.1,NA,HVO_RS20195,HVO_1837,1158,pseudogene,ISH3 family transposase
1220,cds1745,CDS,COG1479,1698524,1699651,1699651,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_049914773.1,HVO_RS13530,HVO_1838,1128,protein_coding,HNH endonuclease
1224,cds1749,CDS,COG3654,1703287,1703676,1703676,+,[R] Prophage maintenance system killer protein ,NC_013967.1,WP_004041728.1,HVO_RS13545,NA,390,protein_coding,hypothetical protein
1227,cds1752,CDS,COG3385,1704683,1705852,1705852,+,[L] FOG: Transposase and inactivated derivatives ,NC_013967.1,WP_013035295.1,HVO_RS13560,HVO_1845,1170,protein_coding,IS4 family transposase
1229,cds1753,CDS,COG1164,1706585,1708384,1708384,-,[E] Oligoendopeptidase F    ,NC_013967.1,WP_004041730.1,HVO_RS13570,HVO_1847,1800,protein_coding,oligoendopeptidase F
1230,cds1754,CDS,COG2234,1708769,1710103,1710103,+,[R] Predicted aminopeptidases    ,NC_013967.1,WP_004041731.1,HVO_RS13575,HVO_1849,1335,protein_coding,aminopeptidase
1232,cds1756,CDS,COG0546,1710559,1711206,1711206,-,[R] Predicted phosphatases    ,NC_013967.1,WP_004041733.1,HVO_RS13585,HVO_1851,648,protein_coding,HAD family hydrolase
1233,cds1757,CDS,COG0101,1711294,1712145,1712145,-,[J] Pseudouridylate synthase    ,NC_013967.1,WP_013035360.1,HVO_RS13590,HVO_1852,852,protein_coding,tRNA pseudouridine(38-40) synthase TruA
1234,cds1758,CDS,COG0589,1712217,1712663,1712663,-,[T] Universal stress protein UspA and related,NC_013967.1,WP_004041735.1,HVO_RS13595,HVO_1853,447,protein_coding,universal stress protein
1235,cds1759,CDS,COG0124,1712786,1714081,1714081,-,[J] Histidyl-tRNA synthetase    ,NC_013967.1,WP_004041736.1,HVO_RS13600,HVO_1854,1296,protein_coding,histidine--tRNA ligase
1236,cds1760,CDS,COG0697,1714136,1715041,1715041,-,[GER] Permeases of the drug/metabolite transporter (DMT),NC_013967.1,WP_004041737.1,HVO_RS13605,HVO_1855,906,protein_coding,EamA family transporter
1237,cds1761,CDS,COG2117,1715144,1715734,1715734,-,"[J] Predicted subunit of tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains",NC_013967.1,WP_004041738.1,HVO_RS13610,HVO_1856,591,protein_coding,alpha hydrolase
1237,cds1762,CDS,COG2118,1715738,1716100,1716100,-,[R] DNA-binding protein    ,NC_013967.1,WP_004041739.1,HVO_RS13615,HVO_1857,363,protein_coding,DNA-binding protein
1237,cds1763,CDS,COG2238,1716206,1716661,1716661,-,[J] Ribosomal protein S19E (S16A)  ,NC_013967.1,WP_004041740.1,HVO_RS13620,HVO_1858,456,protein_coding,30S ribosomal protein S19e
1238,cds1764,CDS,COG0392,1716776,1717804,1717804,-,[S] Predicted integral membrane protein  ,NC_013967.1,WP_004041741.1,HVO_RS13625,HVO_1859,1029,protein_coding,TIGR00374 family protein
1239,cds1765,CDS,COG0611,1717971,1718864,1718864,+,[H] Thiamine monophosphate kinase   ,NC_013967.1,WP_004041743.1,HVO_RS13630,HVO_1861,894,protein_coding,thiamine-phosphate kinase
1240,cds1766,CDS,COG1994,1718904,1720043,1720043,-,[R] Zn-dependent proteases    ,NC_013967.1,WP_004041744.1,HVO_RS13635,HVO_1862,1140,protein_coding,site-2 protease family protein
1242,cds1768,CDS,COG0314,1721045,1721830,1721830,-,"[H] Molybdopterin converting factor, large subunit ",NC_013967.1,WP_004041746.1,HVO_RS13645,HVO_1864,786,protein_coding,molybdopterin synthase
1242,cds1769,CDS,COG2020,1721855,1722199,1722199,-,[O] Putative protein-S-isoprenylcysteine methyltransferase   ,NC_013967.1,WP_004041747.1,HVO_RS13650,HVO_1865,345,protein_coding,hypothetical protein
1243,cds1770,CDS,COG0528,1722293,1723006,1723006,+,[F] Uridylate kinase    ,NC_013967.1,WP_004041748.1,HVO_RS13655,HVO_1866,714,protein_coding,UMP kinase
1243,cds1771,CDS,COG1384,1723008,1724675,1724675,+,[J] Lysyl-tRNA synthetase (class I)  ,NC_013967.1,WP_004041749.1,HVO_RS13660,HVO_1867,1668,protein_coding,lysine--tRNA ligase
1246,cds1774,CDS,COG0265,1726022,1727809,1727809,+,"[O] Trypsin-like serine proteases, typically periplasmic, contain",NC_013967.1,WP_004041752.1,HVO_RS13675,HVO_1870,1788,protein_coding,PDZ domain-containing protein
1247,cds1775,CDS,COG3253,1727916,1729421,1729421,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004041753.1,HVO_RS13680,HVO_1871,1506,protein_coding,heme-dependent peroxidase
1248,cds1776,CDS,COG4854,1729602,1729850,1729850,-,[S] Predicted membrane protein   ,NC_013967.1,WP_049914780.1,HVO_RS13685,HVO_1872,249,protein_coding,hypothetical protein
1249,cds1777,CDS,COG0667,1730301,1731374,1731374,-,[C] Predicted oxidoreductases (related to aryl-alcohol dehydrogenases),NC_013967.1,WP_004041756.1,HVO_RS13690,HVO_1874,1074,protein_coding,aldo/keto reductase
1250,cds1778,CDS,COG0110,1731564,1732481,1732481,+,[R] Acetyltransferase (isoleucine patch superfamily)  ,NC_013967.1,WP_004041757.1,HVO_RS13695,HVO_1875,918,protein_coding,acyltransferase
1253,cds1781,CDS,COG0171,1733825,1734655,1734655,+,[H] NAD synthase    ,NC_013967.1,WP_004041760.1,HVO_RS13715,HVO_1878,831,protein_coding,NAD+ synthase
1254,cds1782,CDS,COG1024,1734697,1735392,1735392,-,[I] Enoyl-CoA hydratase/carnithine racemase   ,NC_013967.1,WP_004041761.1,HVO_RS13720,HVO_1879,696,protein_coding,enoyl-CoA hydratase/isomerase family protein
1257,cds1784,CDS,COG4677,1736369,1737445,1737445,-,[G] Pectin methylesterase    ,NC_013967.1,WP_004041763.1,HVO_RS13735,HVO_1882,1077,protein_coding,pectinesterase
1259,cds1787,CDS,COG1226,1739055,1739708,1739708,+,"[P] Kef-type K+ transport systems, predicted NAD-binding",NC_013967.1,WP_004041766.1,HVO_RS13750,HVO_1885,654,protein_coding,TrkA family potassium uptake protein
1260,cds1788,CDS,COG1127,1740018,1740884,1740884,-,[Q] ABC-type transport system involved in resistance,NC_013967.1,WP_004041767.1,HVO_RS13755,HVO_1886,867,protein_coding,phosphate ABC transporter ATP-binding protein
1260,cds1789,CDS,COG4662,1740881,1741579,1741579,-,"[H] ABC-type tungstate transport system, periplasmic component",NC_013967.1,WP_004041768.1,HVO_RS13760,HVO_1887,699,protein_coding,molybdenum ABC transporter permease
1260,cds1790,CDS,COG2998,1741604,1742632,1742632,-,"[H] ABC-type tungstate transport system, permease component",NC_013967.1,WP_004041769.1,HVO_RS13765,HVO_1888,1029,protein_coding,molybdenum transporter
1262,cds1792,CDS,COG3603,1743807,1744214,1744214,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004041773.1,HVO_RS13775,HVO_1892,408,protein_coding,ACT domain-containing protein
1263,cds1793,CDS,COG0127,1744375,1745007,1745007,-,[F] Xanthosine triphosphate pyrophosphatase   ,NC_013967.1,WP_004041774.1,HVO_RS13780,HVO_1893,633,protein_coding,non-canonical purine NTP pyrophosphatase
1263,cds1794,CDS,COG4194,1745062,1745340,1745340,-,[R] Predicted membrane protein   ,NC_013967.1,WP_004041775.1,HVO_RS13785,HVO_1894,279,protein_coding,hypothetical protein
1264,cds1795,CDS,COG3642,1745405,1747063,1747063,-,[T] Mn2+-dependent serine/threonine protein kinase  ,NC_013967.1,WP_004041776.1,HVO_RS13790,HVO_1895,1659,protein_coding,Kae1-associated kinase Bud32
1264,rps24e,CDS,COG2004,1747097,1747402,1747402,-,[J] Ribosomal protein S24E   ,NC_013967.1,WP_004041777.1,HVO_RS13795,HVO_1896,306,protein_coding,30S ribosomal protein S24e
1264,cds1797,CDS,COG1909,1747471,1748010,1748010,-,[S] Uncharacterized protein conserved in archaea ,NC_013967.1,WP_004041778.1,HVO_RS13800,HVO_1897,540,protein_coding,DUF359 domain-containing protein
1264,cds1798,CDS,COG2093,1748024,1748221,1748221,-,"[K] DNA-directed RNA polymerase, subunit E'' ",NC_013967.1,WP_004041779.1,HVO_RS13805,HVO_1898,198,protein_coding,DNA-directed RNA polymerase subunit E''
1264,cds1799,CDS,COG1095,1748221,1748793,1748793,-,"[K] DNA-directed RNA polymerase, subunit E' ",NC_013967.1,WP_004041780.1,HVO_RS13810,HVO_1899,573,protein_coding,DNA-directed RNA polymerase
1264,cds1800,CDS,COG1412,1748801,1749169,1749169,-,[R] Uncharacterized proteins of PilT N-term./Vapc superfamily,NC_013967.1,WP_004062994.1,HVO_RS13815,HVO_1900,369,protein_coding,hypothetical protein
1264,cds1801,CDS,COG5257,1749192,1750427,1750427,-,"[J] Translation initiation factor 2, gamma subunit",NC_013967.1,WP_004041782.1,HVO_RS13820,HVO_1901,1236,protein_coding,translation initiation factor IF-2 subunit gamma
1267,cds1805,CDS,COG1235,1752796,1753620,1753620,-,[R] Metal-dependent hydrolases of the beta-lactamase superfamily,NC_013967.1,WP_004041786.1,HVO_RS13840,HVO_1905,825,protein_coding,ATP-binding protein
1268,cds1806,CDS,COG0839,1754022,1754762,1754762,+,[C] NADH:ubiquinone oxidoreductase subunit 6 (chain J),NC_013967.1,WP_004041787.1,HVO_RS13845,HVO_1906,741,protein_coding,hypothetical protein
1269,cds1807,CDS,COG0464,1754807,1756231,1756231,-,[O] ATPases of the AAA+ class ,NC_013967.1,WP_004041788.1,HVO_RS13850,HVO_1907,1425,protein_coding,ATP-binding protein
1270,cds1808,CDS,COG0243,1756555,1758696,1758696,+,"[C] Anaerobic dehydrogenases, typically selenocysteine-containing  ",NC_013967.1,WP_004041789.1,HVO_RS13855,HVO_1908,2142,protein_coding,nitrate reductase
1270,cds1809,CDS,COG0746,1758755,1759386,1759386,+,[H] Molybdopterin-guanine dinucleotide biosynthesis protein A ,NC_013967.1,NA,HVO_RS13860,HVO_1909,632,pseudogene,molybdenum cofactor guanylyltransferase
1271,cds1810,CDS,COG0155,1759649,1761402,1761402,+,"[P] Sulfite reductase, beta subunit (hemoprotein) ",NC_013967.1,NA,HVO_RS13865,HVO_1911,1754,pseudogene,ferredoxin--nitrite reductase
1272,cds1812,CDS,COG0183,1761736,1762869,1762869,+,[I] Acetyl-CoA acetyltransferase    ,NC_013967.1,WP_013035395.1,HVO_RS13875,HVO_1914,1134,protein_coding,acetyl-CoA C-acyltransferase
1273,cds1813,CDS,COG0569,1763225,1765132,1765132,-,"[P] K+ transport systems, NAD-binding component ",NC_013967.1,WP_004041795.1,HVO_RS13880,HVO_1916,1908,protein_coding,potassium transporter
1274,cds1814,CDS,COG1022,1765262,1767262,1767262,-,[I] Long-chain acyl-CoA synthetases (AMP-forming)  ,NC_013967.1,WP_004041796.1,HVO_RS13885,HVO_1917,2001,protein_coding,long-chain fatty acid--CoA ligase
1275,cds1815,CDS,COG0426,1767360,1768268,1768268,-,[C] Uncharacterized flavoproteins    ,NC_013967.1,WP_004041797.1,HVO_RS13890,HVO_1918,909,protein_coding,MBL fold hydrolase
1276,cds1816,CDS,COG2932,1768353,1768587,1768587,+,[K] Predicted transcriptional regulator   ,NC_013967.1,NA,HVO_RS20210,HVO_1919,235,pseudogene,hypothetical protein
1277,cds1817,CDS,COG0471,1768729,1770297,1770297,+,[P] Di- and tricarboxylate transporters  ,NC_013967.1,WP_004041799.1,HVO_RS13900,HVO_1920,1569,protein_coding,sodium-dependent transporter
1278,cds1818,CDS,COG0172,1770475,1771857,1771857,+,[J] Seryl-tRNA synthetase    ,NC_013967.1,WP_004041800.1,HVO_RS13905,HVO_1921,1383,protein_coding,serine--tRNA ligase
1280,cds1820,CDS,COG2042,1772389,1772886,1772886,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004041802.1,HVO_RS13915,HVO_1923,498,protein_coding,hypothetical protein
1282,cds1822,CDS,COG1084,1773508,1774485,1774485,+,[R] Predicted GTPase    ,NC_013967.1,WP_004041804.1,HVO_RS13925,HVO_1925,978,protein_coding,GTP-binding protein
1283,cds1823,CDS,COG2968,1774629,1775381,1775381,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004041805.1,HVO_RS13930,HVO_1926,753,protein_coding,DUF541 domain-containing protein
1284,cds1824,CDS,COG1808,1775472,1776776,1776776,-,[S] Predicted membrane protein   ,NC_013967.1,WP_004041806.1,HVO_RS13935,HVO_1927,1305,protein_coding,TIGR00341 family protein
1284,cds1825,CDS,COG0212,1776819,1777550,1777550,-,[H] 5-formyltetrahydrofolate cyclo-ligase    ,NC_013967.1,WP_004041807.1,HVO_RS13940,HVO_1928,732,protein_coding,5-formyltetrahydrofolate cyclo-ligase
1285,cds1826,CDS,COG3413,1777642,1778232,1778232,-,[R] Predicted DNA binding protein  ,NC_013967.1,WP_004041808.1,HVO_RS13945,HVO_1929,591,protein_coding,DNA-binding domain-containing protein
1287,cds1828,CDS,COG0218,1779189,1779806,1779806,+,[R] Predicted GTPase    ,NC_013967.1,WP_004041810.1,HVO_RS13955,HVO_1931,618,protein_coding,GTP-binding protein
1288,cds1829,CDS,COG1052,1779866,1780792,1780792,-,[CHR] Lactate dehydrogenase and related dehydrogenases ,NC_013967.1,WP_013035655.1,HVO_RS13960,HVO_1932,927,protein_coding,D-2-hydroxyacid dehydrogenase
1289,cds1831,CDS,COG1184,1781433,1782674,1782674,-,"[J] Translation initiation factor 2B subunit, eIF-2B",NC_013967.1,WP_004041813.1,HVO_RS13970,HVO_1934,1242,protein_coding,NUDIX domain-containing protein
1290,cds1832,CDS,COG0622,1782735,1783229,1783229,+,[R] Predicted phosphoesterase    ,NC_013967.1,WP_004041814.1,HVO_RS13975,HVO_1935,495,protein_coding,metallophosphoesterase
1291,cds1833,CDS,COG1478,1783347,1784102,1784102,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004041815.1,HVO_RS13980,HVO_1936,756,protein_coding,coenzyme F420-0:L-glutamate ligase
1291,cds1834,CDS,COG2141,1784155,1785141,1785141,+,"[C] Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and",NC_013967.1,WP_004041816.1,HVO_RS13985,HVO_1937,987,protein_coding,"5,10-methylenetetrahydromethanopterin reductase"
